CD_MUN,V11000001,V11000002,V11000003,V11000004,V11000005,V11000006,V11000007,V11000008,V11000009,V11000010,V11000011,V11000012,V11000013,V11000014,V11000015,V11000016,V11000017,V11000018,V11000019,V11000020,V11000021,V11000022,V11000023,V11000024,V11000025,V11000026,V11000027,V11000028,V11000029,V11000030,V11000031,V11000032,V11000033,V11000034,V11000035,V11000036,V11000037,V11000038,V11000039,V11000040,V11000041,V11000042,V11000043,V11000044,V11000045,V11000046,V11000047,V11000048,V11000049,V11000050,V11000051,V11000052,V11000053,V11000054,V11000055,V11000056,V11000057,V11000058,V11000059,V11000060,V11000061,V11000062,V11000063,V11000064,V11000065,V11000066,V11000067,V11000068,V11000069,V11000070,V11000071,V11000072,V11000073,V11000074,V11000075,V11000076,V11000077,V11000078,V11000079,V11000080,V11000081,V11000082,V11000083,V11000084,V11000085,V11000086,V11000087,V11000088,V11000089,V11000090,V11000091,V11000092,V11000093,V11000094,V11000095,V11000096,V11000097,V11000098,V11000099,V11000100,V11000101,V11000102,V11000103,V11000104,V11000105,V11000106,V11000107,V11000108,V11000109,V11000110,V11000111,V11000112,V11000113,V11000114,V11000115,V11000116,V11000117,V11000118,V11000119,V11000120,V11000121,V11000122,V11000123,V11000124,V11000125,V11000126,V11000127,V11000128,V11000129,V11000130,V11000131,V11000132,V11000133,V11000134,V11000135,V11000136,V11000137,V11000138,V11000139,V11000140,V11000141,V11000142,V11000143,V11000144,V11000145,V11000146,V11000147,V11000148,V11000149,V11000150,V11000151,V11000152,V11000153,V11000154,V11000155,V11000156,V11000157,V11000158,V11000159,V11000160,V11000161,V11000162,V11000163,V11000164,V11000165,V11000166,V11000167,V11000168,V11000169,V11000170,V11000171,V11000172,V11000173,V11000174,V11000175,V11000176,V11000177,V11000178,V11000179,V11000180,V11000181,V11000182,V11000183,V11000184,V11000185,V11000186,V11000187,V11000188,V11000189,V11000190,V11000191,V11000192,V11000193,V11000194,V11000195,V11000196,V11000197,V11000198,V11000199,V11000200,V11000201,V11000202,V11000203,V11000204,V11000205,V11000206,V11000207,V11000208,V11000209,V11000210,V11000211,V11000212,V11000213,V11000214,V11000215,V11000216,V11000217,V11000218,V11000219,V11000220,V11000221,V11000222,V11000223,V11000224,V11000225,V11000226,V11000227,V11000228,V11000229,V11000230,V11000231,V11000232,V11000233,V11000234,V11000235,V11000236,V11000237,V11000238,V11000239,V11000240,V11000241,V11000242,V11000243,V11000244
3500105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34687.0,0.0,34687.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.68,3.32,48.16,51.84,5.08,5.01,5.09,5.52,6.31,6.46,7.56,7.47,7.37,6.95,7.01,7.12,6.6,5.3,4.11,3.1,2.17,1.16,0.49,0.12,0.01,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33536.0,1151.0,16705.0,17982.0,1763.0,1739.0,1766.0,1916.0,2188.0,2240.0,2621.0,2591.0,2556.0,2412.0,2430.0,2470.0,2290.0,1838.0,1424.0,1074.0,751.0,403.0,169.0,41.0,5.0,34687.0,0.0,34687.0,96.58,94.11,97.03,96.0,99.31,99.28,99.04,98.93,97.29,96.72,82.19,89.1,99.09,96.49,0.0,96.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,47.0,40.0,0.0,40.0,92.16,117.17,92.9,0.0,92.9,149.72,222.15,151.77,0.0,151.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4351.0,0.0,4351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.05,7.95,49.48,50.52,5.56,6.69,5.7,6.23,5.84,6.62,6.85,7.45,6.55,6.04,7.06,7.61,6.34,5.68,4.09,3.1,1.49,0.55,0.44,0.11,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4005.0,346.0,2153.0,2198.0,242.0,291.0,248.0,271.0,254.0,288.0,298.0,324.0,285.0,263.0,307.0,331.0,276.0,247.0,178.0,135.0,65.0,24.0,19.0,5.0,0.0,4351.0,0.0,4351.0,93.06,95.09,93.95,92.53,97.64,97.44,97.58,95.57,94.21,92.92,70.56,83.36,98.11,93.22,0.0,93.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,44.0,39.0,0.0,39.0,98.37,93.3,97.95,0.0,97.95,121.11,126.23,121.51,0.0,121.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32072.0,0.0,32072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.21,6.79,49.51,50.49,6.14,6.43,6.62,6.8,7.36,7.52,7.21,7.94,7.64,6.68,6.25,5.98,5.53,4.39,3.34,1.94,1.18,0.65,0.32,0.08,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29895.0,2177.0,15878.0,16194.0,1970.0,2061.0,2124.0,2180.0,2360.0,2411.0,2311.0,2546.0,2451.0,2144.0,2006.0,1919.0,1772.0,1409.0,1071.0,622.0,380.0,207.0,102.0,25.0,1.0,32072.0,0.0,32072.0,95.08,94.34,95.13,94.94,98.77,98.69,99.03,96.84,94.24,92.77,82.65,86.66,98.81,95.03,0.0,95.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,35.0,36.0,0.0,36.0,97.09,112.18,98.05,0.0,98.05,93.9,56.89,90.8,0.0,90.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7369.0,0.0,7369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.65,12.35,47.98,52.02,4.65,5.73,5.2,5.16,5.36,5.39,6.2,7.22,7.17,6.85,6.17,7.22,7.27,6.99,4.78,3.42,2.51,1.61,0.88,0.19,0.03,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6459.0,910.0,3536.0,3833.0,343.0,422.0,383.0,380.0,395.0,397.0,457.0,532.0,528.0,505.0,455.0,532.0,536.0,515.0,352.0,252.0,185.0,119.0,65.0,14.0,2.0,7369.0,0.0,7369.0,96.88,96.65,97.22,96.51,99.24,99.65,99.58,98.49,98.23,97.66,88.38,91.42,98.57,96.85,0.0,96.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,41.0,43.0,0.0,43.0,90.08,109.2,92.25,0.0,92.25,185.99,127.61,177.7,0.0,177.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17930.0,0.0,17930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.16,12.84,48.64,51.36,4.48,5.26,5.72,5.83,6.0,6.33,6.54,7.45,8.17,7.18,7.21,7.03,6.42,5.53,4.42,2.8,1.87,1.12,0.55,0.11,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15627.0,2303.0,8721.0,9209.0,803.0,943.0,1025.0,1045.0,1076.0,1135.0,1172.0,1336.0,1465.0,1287.0,1293.0,1261.0,1151.0,991.0,792.0,502.0,335.0,200.0,98.0,20.0,0.0,17930.0,0.0,17930.0,96.48,95.96,96.43,96.39,98.98,99.09,99.38,98.46,97.02,95.94,86.23,90.27,98.99,96.41,0.0,96.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,39.0,41.0,0.0,41.0,92.95,107.48,94.7,0.0,94.7,153.77,113.03,147.56,0.0,147.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500550,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7177.0,0.0,7177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.99,12.01,49.85,50.15,5.25,6.41,6.92,6.74,5.89,6.02,6.38,6.7,6.94,7.11,6.51,6.87,6.63,5.49,4.47,2.54,1.81,0.81,0.4,0.08,0.01,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6315.0,862.0,3578.0,3599.0,377.0,460.0,497.0,484.0,423.0,432.0,458.0,481.0,498.0,510.0,467.0,493.0,476.0,394.0,321.0,182.0,130.0,58.0,29.0,6.0,1.0,7177.0,0.0,7177.0,95.87,93.87,95.97,95.32,98.82,98.43,99.0,97.45,95.39,95.36,85.22,89.65,98.91,95.64,0.0,95.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,38.0,39.0,0.0,39.0,97.9,111.27,99.42,0.0,99.42,122.47,101.69,119.72,0.0,119.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.0,0.0,2780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,46.37,53.63,3.49,4.32,5.36,4.75,5.72,4.93,5.14,6.22,6.76,6.44,6.55,6.37,9.06,7.63,6.15,4.28,3.88,1.98,0.72,0.22,0.04,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2780.0,0.0,1289.0,1491.0,97.0,120.0,149.0,132.0,159.0,137.0,143.0,173.0,188.0,179.0,182.0,177.0,252.0,212.0,171.0,119.0,108.0,55.0,20.0,6.0,1.0,2780.0,0.0,2780.0,98.76,0.0,98.65,98.85,99.37,98.57,98.51,98.89,98.06,99.77,98.38,98.27,100.0,98.76,0.0,98.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,47.0,0.0,47.0,86.45,0.0,86.45,0.0,86.45,257.92,0.0,257.92,0.0,257.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500709,100.0,0.0,100.0,275.0,0.0,275.0,0.73,0.0,0.73,37680.0,0.0,37680.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,132.0,0.0,132.0,380.0,0.0,380.0,275.0,0.0,275.0,2.88,0.0,2.88,2.08,0.0,2.08,1.02,0.0,1.02,72.37,0.0,72.37,95.68,4.32,48.99,51.01,6.2,6.7,6.78,6.36,6.93,7.27,7.49,7.96,7.96,7.26,6.31,5.7,5.26,4.31,3.09,2.01,1.36,0.7,0.27,0.07,0.0,100.0,0.0,100.0,100.0,0.0,50.91,49.09,6.18,6.18,7.64,6.55,8.0,5.45,6.91,9.82,9.09,8.36,6.55,5.82,3.27,3.27,2.18,2.91,1.09,0.73,0.0,0.0,0.0,100.0,0.0,100.0,275.0,0.0,140.0,135.0,17.0,17.0,21.0,18.0,22.0,15.0,19.0,27.0,25.0,23.0,18.0,16.0,9.0,9.0,6.0,8.0,3.0,2.0,0.0,0.0,0.0,275.0,0.0,275.0,0.76,0.0,0.76,0.7,0.73,0.67,0.82,0.75,0.84,0.55,0.67,0.9,0.83,0.84,0.76,0.74,0.45,0.55,0.52,1.06,0.59,0.75,0.0,0.0,0.0,0.73,0.0,0.73,36054.0,1626.0,18461.0,19219.0,2338.0,2525.0,2556.0,2396.0,2613.0,2740.0,2822.0,2998.0,3000.0,2735.0,2378.0,2149.0,1981.0,1624.0,1165.0,758.0,511.0,265.0,101.0,25.0,0.0,37680.0,0.0,37680.0,96.41,91.31,96.61,95.79,99.16,98.9,98.86,98.52,96.79,94.24,83.92,87.73,98.11,96.19,0.0,96.19,90.91,0.0,90.65,91.15,95.45,94.12,100.0,96.15,97.56,84.0,53.85,64.29,100.0,90.91,0.0,90.91,36.0,38.0,36.0,0.0,36.0,95.0,122.74,96.06,0.0,96.06,85.86,104.31,86.67,0.0,86.67,36.0,0.0,36.0,0.0,36.0,103.7,0.0,103.7,0.0,103.7,67.27,0.0,67.27,0.0,67.27
3500758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6141.0,0.0,6141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.22,25.78,50.46,49.54,5.98,6.81,7.1,6.56,7.08,7.05,7.23,8.44,7.51,6.55,5.65,5.63,6.03,5.15,3.65,1.81,1.01,0.55,0.16,0.03,0.03,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4558.0,1583.0,3099.0,3042.0,367.0,418.0,436.0,403.0,435.0,433.0,444.0,518.0,461.0,402.0,347.0,346.0,370.0,316.0,224.0,111.0,62.0,34.0,10.0,2.0,2.0,6141.0,0.0,6141.0,95.25,95.85,96.04,94.77,99.31,99.09,99.14,98.06,95.99,92.32,73.3,85.68,100.0,95.41,0.0,95.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,38.0,36.0,0.0,36.0,102.85,99.12,101.87,0.0,101.87,86.65,110.42,92.63,0.0,92.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4445.0,0.0,4445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.16,15.84,49.72,50.28,5.47,5.62,5.87,5.56,6.21,6.23,6.43,6.52,7.31,6.84,7.06,6.75,6.86,4.93,4.16,4.09,2.14,1.12,0.7,0.11,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3741.0,704.0,2210.0,2235.0,243.0,250.0,261.0,247.0,276.0,277.0,286.0,290.0,325.0,304.0,314.0,300.0,305.0,219.0,185.0,182.0,95.0,50.0,31.0,5.0,0.0,4445.0,0.0,4445.0,94.4,95.85,95.73,93.56,98.91,99.11,99.28,98.37,96.12,95.04,77.96,83.83,99.07,94.64,0.0,94.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,48.0,41.0,0.0,41.0,95.35,120.0,98.88,0.0,98.88,130.67,215.69,142.18,0.0,142.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3500907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3451.0,0.0,3451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.86,14.14,50.77,49.23,5.77,6.84,6.49,6.58,7.1,6.61,7.42,7.68,8.58,6.66,6.4,6.23,5.19,4.11,3.27,2.69,1.39,0.58,0.38,0.03,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2963.0,488.0,1752.0,1699.0,199.0,236.0,224.0,227.0,245.0,228.0,256.0,265.0,296.0,230.0,221.0,215.0,179.0,142.0,113.0,93.0,48.0,20.0,13.0,1.0,0.0,3451.0,0.0,3451.0,92.2,94.75,92.15,92.97,96.73,96.9,99.28,93.23,94.68,90.36,73.14,80.93,97.75,92.55,0.0,92.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,37.0,0.0,37.0,102.39,107.66,103.12,0.0,103.12,97.1,68.22,92.41,0.0,92.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3501004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16818.0,0.0,16818.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.55,9.45,49.28,50.72,5.86,6.35,6.18,6.14,6.94,7.39,7.13,7.71,8.01,6.38,5.92,6.18,5.51,5.02,3.58,2.6,1.68,0.92,0.43,0.07,0.01,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15228.0,1590.0,8288.0,8530.0,986.0,1068.0,1039.0,1032.0,1168.0,1243.0,1199.0,1296.0,1347.0,1073.0,996.0,1039.0,927.0,844.0,602.0,437.0,282.0,154.0,73.0,12.0,1.0,16818.0,0.0,16818.0,95.15,93.41,95.49,94.5,99.23,98.81,99.03,98.03,95.41,92.62,79.14,85.49,99.28,94.99,0.0,94.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,36.0,37.0,0.0,37.0,95.61,113.42,97.16,0.0,97.16,110.93,80.91,107.73,0.0,107.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
