tabela,variavel_id,variavel,unidade,categorias,categorias_ids,fonte,tema,campo,municipios_com_registro,valores_numericos,divulgacao,fonte_divulgacao,camada
4709,10605,Taxa de crescimento geométrico,%,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000001,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4709,5936,Variação absoluta da população residente 2010 compatibilizada,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000002,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4709,93,População residente,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4709,01_populacao,V01000003,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,614,Densidade demográfica,Habitante por quilômetro quadrado,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000004,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,6318,Área da unidade territorial,Quilômetros quadrados,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000005,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
4714,93,População residente,Pessoas,,[],https://sidra.ibge.gov.br/tabela/4714,01_populacao,V01000006,645,645,Censo Demográfico | População e Domicílios - Primeiros Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/primeiros-resultados-populacao-e-domicilios,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Homens | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""4""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000007,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Mulheres | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""5""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000008,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: Total | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""100362""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000009,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 80 a 84 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""49108""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000010,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 85 a 89 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""49109""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000011,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 90 a 94 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""60040""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000012,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 95 a 99 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""60041""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000013,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: Menos de 1 ano | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6557""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000014,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 1 ano | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6558""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000015,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 2 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6559""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000016,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 3 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6560""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000017,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 4 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6561""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000018,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 5 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6562""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000019,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 6 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6563""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000020,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 7 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6564""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000021,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 8 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6565""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000022,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 9 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6566""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000023,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 10 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6567""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000024,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 11 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6568""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000025,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 12 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6569""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000026,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 13 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6570""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000027,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 14 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6571""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000028,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 15 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6572""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000029,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 16 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6573""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000030,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 17 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6574""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000031,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 18 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6575""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000032,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 19 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6576""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000033,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 20 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6577""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000034,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 21 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6578""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000035,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 22 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6579""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000036,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 23 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6580""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000037,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 24 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6581""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000038,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 25 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6582""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000039,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 30 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6583""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000040,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 31 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6584""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000041,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 32 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6585""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000042,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 33 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6586""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000043,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 34 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6587""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000044,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 35 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6588""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000045,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 36 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6589""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000046,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 37 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6590""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000047,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 38 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6591""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000048,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 39 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6592""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000049,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 40 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6593""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000050,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 41 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6594""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000051,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 42 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6595""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000052,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 43 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6596""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000053,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 44 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6597""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000054,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 45 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6598""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000055,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 46 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6599""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000056,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 47 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6600""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000057,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 48 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6601""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000058,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 49 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6602""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000059,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 50 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6603""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000060,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 51 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6604""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000061,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 52 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6605""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000062,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 53 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6606""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000063,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
9514,1000093,População residente - percentual do total geral,Percentual,Sexo: Total | Idade: 54 anos | Forma de declaração da idade: Total,"[[""2"", ""6794""], [""287"", ""6607""], [""286"", ""113635""]]",https://sidra.ibge.gov.br/tabela/9514,01_populacao,V01000064,645,645,Censo Demográfico | População por Idade e Sexo - Resultados do Universo,https://sidra.ibge.gov.br/pesquisa/censo-demografico/demografico-2022/universo-populacao-por-idade-e-sexo,01_populacao_01
